Job Title,Key Skills
it/technical content developer,powershell| powershell scripting
financial analyst,cash flow| private equity| administration| analytical| networking| pricing analysis| equity funds| valuation analysis| portfolio valuation| software packages
copywriter,editorial| content development| content writing| seo writing| copy writing| articles| copy editing| feature writing| proof reading| writing skills
quality assurance/quality control executive,cylinders| hydraulics| quality inspection| quality control| quality assurance| quality engineering| quantity surveyor| quality inspector| mechanical engineering| iti| dme| mechanical engineer
software developer,css| software development| service operations management| servicenow| web technologies| javascript| html| itil| agile development| web services
lecturer/professor,economics| cvs| copy writing| academic research| online marketing| marketing operations| hrd| research| econometrics| rural marketing
software developer,continuous integration| networking| wifi| qa| architecture| infrastructure
software developer,performance tuning| management systems| debugging| database administration| service| asp.net| application development| stored procedures| business intelligence| sharepoint
software developer,ss7| inap| tcap| diameter| shell scripting| snmp| plsql
solution architect / enterprise architect,technical architect| html 5| java| hibernate| spring mvc| design patterns| j2ee| spring boot| spring| solution architect| css3| multithreading| junit| rdbms
hr business partner,hrbp| hr manager| hr generalist| hr| assistant manager hr| deputy manager hr
clinical research associate/scientist,biotechnology| bhms| pharmaceutical| plant biotechnology| botany| microbiology| nursing| food&nutrition| bams| biomedical| healthcare| medical coding| biochemistry| bioinformatics| pharmacy| bsms| zoology
technical architect,architect| web development| html| agile| python| business executive| scrum| jquery| database| programming
analytical chemistry associate/scientist,dissolution apparatus| uv| karl fischer| trainee| adl| glp| gmp| hplc
key account manager,key account management| sales| b2b sales| sales strategy| business development| marketing| partner management| relationship management| business strategy| portfolio management| account management| program management| negotiation skills
sales/business development manager,consumer durables| b2b sales| new business| business development management| new product| report writing| marketing
hr executive,payroll processing| hr administrator| employee grievances| payment followup| scheduling| termination| grievance handling| exit interviews| monitoring| admin executive
associate/senior associate -,medical| technical support| outbound| antivirus| comp| inbound voice process| technical sales associate| international bpo| sales| us shift
software developer,troubleshooting| maven| postgresql| distribution system| backend| git| cassandra| scala| neo4j| design development
outside consultant,dealing| auditing| customer relationship| service catalog| subject matter expertise
corporate communication executive,customer service| help desk| information| telephony support| customer relationship| access controls| vendor management| asset management
associate/senior associate -,client servicing| client support| background verification| client coordination
software developer,coding| wordpress| commerce| html| troubleshooting
associate/senior associate -,data analysis| investment banking| financial services| data management| change management| cash management| asset management| analytical| cognos| operations
software developer,php| mvc| laravel| aws| sdlc| wordpress| lamp| oops| mysql| mvc framework
sales/business development manager,networking| printing| aerospace| raw material| surface treatment| human capital| ground handling| hr solutions| assistant manager quality| hr
software developer,android sdk| content development| application development
purchase/vendor development manager,procurement| after sales service| quality check| pumps| electronic components| standard operating procedures| thermal| customer experience| refrigeration| techno commercial
project manager,customer service| help desk| information| telephony support| customer relationship| access controls| vendor management| asset management
sales executive/officer,field sales| insurance sales| direct sales| corporate sales| institutional sales| bfsi sales| banking sales| financial sales| demat sales
product designer,css| ux| ui| illustrator| javascript| html| photoshop
project manager,html| javascript| css| jquery
technical support manager,tcp| environmental monitoring| monthly reports| linux| use cases| soc| ip networking| security operations| it security
operations executive,ticketing| airlines| tours| costing| english| domestic| senior executive| com| tour packages| email
lab technician/medical technician/lab staff,manager technology| schedule| life| nabh| who| medical representative| com| plastic surgery| ram| blogs
fresher,bba fresher| bba graduate| accounting| finance| bpo| claims processing| esi| statutory compliance
recruitment executive,consulting| project delivery| web services| manager technology| management| testing| aws
erp consultant,sap fico implementation| sap security| sod| sap implementation| hana| sap hana| sap fico| grc| ecatt
business analyst,mba| business analysis| business process| process flow| supply chain| communication skills
bio,life sciences| r&d| installation
business analyst,dedicated| product| software development| documentation| payments| scope| prepaid| atm| enhancement| monitoring
team lead/technical lead,dft| usb| ethernet| timing closure| macros| ips| logic design| architecture| rtl| rtl design
software developer,linux| networking| windows| sap erp| erp| sap| technical| management representative| transport management| sap basis
product development manager,agriculture| seed| agronomy| crop| fertilizer
associate/senior associate -,bpo| outbound| technical support| sales| spot| inbound calls| us shift| antivirus| medical| comp
associate/senior associate -,analytical skills| relationship building| risk management| mis reporting| supervisor| compliance| management| cost control| trade processing
software developer,design development| php| laravel
business analyst,front office| data analysis| sql| ms office| forecasting| macros| budgeting| change management| risk management| balance sheet
sales executive/officer,marketing| field sales| business development| sales
marketing manager,digital marketing| marketing campaigns| e commerce| bidding| lead generation| facebook| cps| advertising| social media
project manager,pmp| process management| people management skills| project analyst| web technologies
software developer,assembly language| six sigma| pmp| javascript| .net| html| oracle| python| sql
software developer,sap abap|smartforms|abap objects|adobe forms|enhancements|workflow|interfaces|isu|technical design|business solutions
audit manager,accounting| ifrs| us gaap| auditing| indian gaap| statutory audit| ca
accounts executive/accountant,accounting| tds| vat| creditors reconciliation| taxation| debtors| petty cash book| tally| sales| account management
team lead/technical lead,java| r| rdbms| web technologies| javascript| data mining| spark| hdfs| web services| analytics
software developer,unix| scala| banking| investment banking| asset management| technology solutions| big data| financial services| sql| python
sales/business development manager,lubricantsprocess associatecopyright| automobile components| hr solutions| technical marketing| business executive| iso 9001
senior outside consultant,it audit| sox compliance| it risk| itgc| technology risk| sox
sales/business development manager,business acquisition| sales| b2b sales
associate/senior associate -,bpo| help desk| customer service| data analysis| customer relationship| legal| intellectual property| vendor management| access controls| technology| asset management| ites| account| crm
software developer,core java| hibernate| jsp| spring
sales executive/officer,sales management| marketing| customer relationship| new client acquisition| lead generation| sales manager| client servicing| business development| field sales
software developer,sql| xml| core java| json| android sdk| google maps| mobile applications| web services
telecalling/telemarketing executive,communication skills| spoken english| customer support| night shift
accounts executive/accountant,accounts| accountant| finance| tax| audit| commerce| ca| tally
content developer,article writing| digital marketing
industrial/labour relations manager,statutory compliance| ir| labour laws| legal compliance| contract labour
software developer,web technologies| php| web development
software developer,ios| xml| multithreading| data structures| debugging| json| test cases| sdk| sqlite| agile methodology
accounts executive/accountant,oracle| order management| handling| payroll| intelligence| ms office
search engine optimisation /seo specialist,ppc| google analytics| mis| back office support| link exchange| sem| office management| customer service| seo| information technology
associate/senior associate -,asset management| risk management| logistics| business services| process automation| regulatory reporting| quality check| subject matter expertise| management| operations
assistant professor,counselor| mentor| trainer| lecturer| teaching
software developer,core java| coding| application programming| packaging| unit testing| asset management| risk management| analytics| financial services| sql
team lead/technical lead,mule esb| mule esb
software developer,android studio| android development| git
team lead/technical lead,spring|websphere|primefaces|design patterns|j2ee|jee|jsf|hibernate|core java
software developer,css| linq| mvc framework| javascript| bootstrap| html| entity framework| json| jquery| ajax
software developer,magento| ecommerce| javascript| jquery| magento developer
software developer,react.js| javascript| api
quality assurance/quality control executive,hospitality| automation testing| manual testing| software quality testing| hotel operations| back office| test cases| application software| testing
testing engineer,product quality| software testing life cycle| software testing| automation| load testing| quality testing| test cases
software developer,development| web design| diploma| c| technical| software| mobile| graphics| iphone| javascript| cocoa| software programming| objective c| multimedia| usability| ui| web| design| web development| support| programming
software developer,asp.net mvc
finance executive,finance|financial reporting|accounts payable|expenses|gst|tds|invoicing|reconciliation|general ledger
search engine optimisation /seo lead,help desk| customer service| customer relationship| access controls| asset management| vendor management
regional manager,business planning| lead generation| b2c sales| telesales| business strategy| online marketing| inside sales| business development| market research| customer handling| customer acquisition
sales/business development manager,business development management| digital marketing| sales planning| growth strategy| profit growth| corporate strategy| advertising| business growth| international marketing| international business development| international sales| international business
software developer,css| illustrator| photoshop| html| process flows
recruitment executive,it recruitment| international recruitment| non it recruitment| it recruiter| hr consultant
software developer,coding| engine development| h264| rtsp| application development| http| open source| adobe| android
insurance analyst,business analysis| analytical| functional testing| agile| scrum| business analyst| usage
recruitment executive,recruitment| networking| scheduling| machine learning| competitive intelligence| lead talent acquisition| data integrity| research| management systems| management
associate/senior associate -,bpo| voice process| customer service| night shift| non voice| bpos| calling| domestic| fresher
associate/senior associate -,voice process| international bpo| csr| configuration| customer service| technical support| outbound process| customer care| technical support executive| customer support
technical architect,process associate| web services| aws| architect| business executive| architecture
hr executive,hr generalist activities| grievance handling| payroll| hr administration| esic| bonus| hr compliance| leave management| recruitment| salary preparation
telecalling/telemarketing executive,technical support| sales associate| technical| bonus| us shift| international bpo| inbound calls| issue| software
textile designer,typography| game| illustration| faculty| animation
interior designer,modular kitchen| doors| handles
software developer,procurement| accounting| gl| expenses| finance| accounts payables| payables| oracle fusion| cm| p2p| ar| oracle support| fa| taxation| fusion| bpm
staffing specialist/ manpower planning,client acquisition| executive search| head hunting| mapping| construction| power| engineering| automotive| epc| fmcg| fmcd| bfsi| banking| financial services| nbfc
sales/business development manager,forex| broking| liabilities| relationship| financial planning| flex| service| http| cross selling| financial services
graphic/web designer,web technologies
dba,sql| oracle| linux| windows| technical support| database administration| performance tuning| http| debugging| consulting
software developer,plsql| scm| payroll| bpo| oracle reports| staffing| oracle workflow| business process outsourcing| technical| mar
software developer,3ds max| etabs| revit architecture| reverse engineering| revit mep| auto cadd| nx| staad pro| autocad| catia| hypermesh| revit| 3dsmax
client servicing/key account manager,computer science| business administration| graphic designing| sales| illustrator| time management| business development manager| sales executive| digital marketing| photoshop
sales/business development manager,sheet metal
sales executive/officer,help desk| customer service| customer relationship| access controls| asset management| vendor management
software developer,java|ios sdk|html5|javascript|objective c|appcelerator|android sdk|jquery|xcode|ajax
teacher/ private tutor,teaching| ielts faculty
software developer,development| sql server| winforms| asp net mvc| c#| server| entity framework| sql| linq| net technologies| asp.net| vb net| .net
software developer,production support| ssrs| support
content developer,content creation| content developer| content writing| content
testing engineer,performance testing|load runner
software developer,c| c++| i2c| spi| arm| uart| linux| embedded software| arm7| firmware development| soc| android| firmware| embedded| medical devices
design engineer,help desk| customer service| data analysis| customer relationship| access controls
system administrator,administration| vmware| san| automation| email| networking| wan| customer service| troubleshooting| virtualization
recruitment executive,us staffing| c2c| dice| us it recruitment| w2| us recruitment
accounts executive/accountant,customer service| reconciliation| analytics| change management| manager internal audit| variance analysis| gl accounting| financial analyst| financial statements| diversity and inclusion
manager / sr manager,administration| scheduling| operations| business executive
animation/graphic artist,fundamentals| art| change.| production| photoshop
system administrator,troubleshooting skills| networking| windows server| dns| switch configuration| system administration| network administration| server management| dhcp| wintel
software developer,principal| manager quality assurance| linux| product management| software design| tcp| ethernet| computer science| system architecture| configuration management
social media marketing manager,digital marketing| advertising agency| social media marketing
team lead/technical lead,system verilog| uvm| perl| rtl coding| design verification| c++| digital design| logic design| tcl| nand| nand flash| flash memory| verilog
sales/business development manager,business development| odesk| international sales| digital marketing| lead generation| online bidding| it sales| online sales| client retention| target achievement
associate/senior associate -,active directory| it helpdesk| windows server| server management| technical support| desktop support| help desk operations| it service desk| server os| it support| dhcp server| network engineer| system administration| ms exchange| office 365
lecturer/professor,teaching| curriculum development| lecturer activities| supervision| staff development| lecturer| faculty| physiology
sales executive/officer,b2c sales| direct sales| business development| bdm| business development manager| sales marketing| revenue generation| educational sales| sales| lead generation| sales insurance| corporate sales
key account manager,software sales|lead generation|cold calling|auditing|core banking|external audit|presales|managed services|security services|bfsi|cloud
counselor,sales| selling
software developer,business process| printing| sap| sap abap| functional testing| social media| transport management| test planning| documentation tools
hr manager,hr generalist activities| human resource management| hr generalist
sales/business development manager,automation| social media| google analytics| automation tools| product sales| marketing promotions| psychology| sales achievement| network management| networking
branch manager/regional manager,team management| team handling| heading branch| cross selling| branch management| life insurance| direct sales| insurance| region| capacity building
ceo/md/director,process audit| brand management| wealth management| investment advisory| asset management| management| organization design| financial services| capacity planning
relationship executive,administration| report generation| policies| procedures| analysts| data entry| analytical skills| risk management
client servicing/key account manager,sales| cold calling| business development
software developer,c++| c| design| mysql| javascript| html
rfi / rfp manager,solution architect|rtr|solution design|finance & account delivery.|rfi|presales|finance& account operation|rfp|otc
associate/senior associate -,bpo| call center| customer service executive| cse| technical support| voice| international bpo| international call center| customer service associate| csa| technical support associate| fresher| airlines| undergraduate
pay roll/compensation manager,payroll| statutory compliance
sales executive/officer,digital marketing| bd| direct sales| retail sales| bdm| sales executive| sales officer| enrollment| marketing| sales management| lead generation| business development executive| telecalling| revenue collection| business development| career counselling
software developer,css|javascript|ui development|jquery|html|json|node.js|karma|mysql|rest
software developer,css| backend| ux| front end| html5| web technologies| javascript| bootstrap| web application development| react.js
service/maintenance engineer,cnc programming| plc programmer
software developer,google analytics| javascript| html| css| ux| pdf| ui
software developer,open source| sdk| animation| ios development| web technologies
team lead/technical lead,node js| html 5| rest| css| web services| html5| bootstrap| javascript| jquery| sql server| json| html
recruitment executive,consulting| mis| appraisal| fmcg| industrial relations
purchase/vendor development manager,purchase assistant| purchase vendor development
software developer,c++| android application| opengl
software developer,c#| oops| javascript| .net| html| mvc| asp| ajax| sql
maintenance engineer,racks| hardware installation| technical support| l2| data center operations| it infrastructure| device installation| vendor management| branch offices
software developer,css| javascript| html| mysql| bootstrap| web development| mongodb| web services| nosql| user interface designing| ui designer| angularjs| node.js| python developer| python| gcp| web developer
medical representative,marketing| sales| client servicing| business development| medical equipment
regional manager,national sales| marketing| customer retention| top management| retention strategies| sales
associate/senior associate -,outbound| antivirus| technical support| sales| inbound calls| inbound voice process| us shift| medical| comp
analyst,structured finance| financial modelling| new product development| legal documentation
draughtsman,projects| min| consultants| documents| production| cad| design| mep
head/vp/gm/national manager,national sales|marketing|container terminal|exim|logistics|warehousing|warehouse|3pl
software developer,c++| c| multithreading| device driver| mac os| kernel| iot
software developer,assembly language| six sigma| pmp| c| javascript| .net| html| oracle| python| sql
telesales/telemarketing executive/officer,business analyst| consulting| ms office tools| inside sales executive| interpersonal skills| lead generation| basic| database| research
software developer,functions|stored procedures|plsql|oracle|triggers|pl sql
logistics manager,soft skills| supply chain management| international marketing| logistics| business development management| export marketing| batch planning
software developer,perl| physical design| graphics| soc| dft| gaming| front end| budgeting| backend| timing closure
media planning executive/manager,business analyst| english| tracking| cv| manager client servicing| writing| relationship| agency| mass| hons
chartered accountant,accounting| finance| loss| vat| chartered accountant| gst| profit| taxation| fund flow| balance sheet| auditing| cash flow
software developer,c++| linux| networking| computer science| vmware| 3g| ipv6| telecommunication| troubleshooting| virtualization
sales executive/officer,saving account| current account| sales
graphic designer,creative designer| dreamweaver| promotions| creative designing| social media| illustrator| campaigns| photoshop| graphic designer| advertising| software design| marketing
financial analyst,mba finance| investment banking| capital market| mcom| back office| bse| nse| derivatives| debentures| equity| money market| shares| hedging| financial analysis
associate/senior associate -,customer care executive
project manager,c#|kendo ui|asp.net|entity framework|mvc|telerik|wpf|jquery|prism|ajax
software developer,git| mysql| php| ms sql| web technologies| web| oops| database| time| business executive| application| who
software developer,angularjs| postgresql| mean stack developer| javascript| mean stack| python
associate/senior associate -,customer service| semi voice
technical architect,automation| devops| paas| jenkins| iaas| ansible
corporate communication executive,senior executive| facebook| email| comm| copyright| hr| english language| media| business executive| writing
hr business partner,hr policies|pms|time office management|human resource management|labour laws|hr functions|core hr
software developer,data structures| json| android sdk
technical support engineer,spring| hibernate
software developer,.net| sql| technical support| mvc| sdlc| visual basic| software design| css3| software development life cycle| programming
testing engineer,development| j2ee| inter| automation| microsoft| standards| regression| web based applications| agile| functional testing
database architect/designer,business intelligence| analytics
software developer,css| web technologies| maintenance| javascript| wordpress developer| wordpress| php| html| web development| core php| ajax
project manager,computer science| performance management| tdd| conflict resolution| performance testing| agile| scrum| jira| continuous improvement| sdlc
associate/senior associate -,social media| sales process| tele counsellor| consultancy| management| counselling
software developer,computer science| git| hmi| agile| electronics| instrumentation| sdk| object oriented programming| sdlc| automotive
chartered accountant,mis| financial services| nse| excel| assistant manager operations| business executive| product training| banking
graphic/web designer,web technologies
software developer,software architecture| angularjs| laravel| yii| php| mvc| symfony| codeigniter
finance/budgeting manager,tally| budgeting| forecasting| financial statements| performance management| accounting| consulting| cash flow| business solutions| continuous improvement
content developer,social media| creative writing| research| production| journalism| deployment| management
software developer,asp.net| .net| mvc| asp.net mvc| jquery
teacher/ private tutor,counselor| maths| mentor| trainer| advisor| teaching
technical architect,bpo| technical architect| payroll| soa| staffing| presales| wps| middleware| rfp| business executive
apparel/garment designer,designer
software developer,java| computer science| jee| c| sql queries| software development| design patterns| database| agile methodology| memory management
head/vp/gm,pricing strategy
sales/business development manager,expansion manager
accounts manager,administration| credit officers| report generation| analysts| analytical skills| risk management
head / vp/ gm/ national manager after sales,project execution| sales| key accounts| collection
sales executive/officer,sales executive| customer service executive| front desk| ups
fresher,customer care| international bpo| call center| inbound process| cce| night shift| calling| non voice process| kpo| outbound| sales| marketing| customer support| back office| non voice| domestic bpo| data entry| voice process| mnc
operations manager,communication skills| project management| renewable energy
sales executive/officer,retail sales| sales| visual merchandising| merchandising| sales associate
program manager,online marketing| receiving| internet marketing| content writing
head/vp/gm/national manager,healthcare| team building| monitoring| new product development| cost benefit analysis| secondary sales| product pricing| division head| new market development| finance
key account manager,logistics sales| corporate sales| b2b sales| sales
telecalling/telemarketing executive,bpo| customer service| telemarketing| customer support| telesales| customer retention| support services| profit centre operations| customer relationship
sales/business development manager,market research| customer profiling| sales executive| marketing executive| distributors| business development| sales strategy
sales executive/officer,cross sales| publishing| sales| account management| sales process| research| territory sales| crm| salesforce
financial analyst,finance| financial analysis| balance sheet
graphic designer,indesign| adobe premiere pro| graphic designing| adobe after effects| adobe| video editing| graphic designer| adobe audition| illustrator
trainee,bpo| call centre| btech| freshers| back office| it| trainee| part time| bcom| bsc| teachers| freelance| nurse| data entry| ba
sales executive / officer,marketing| channel sales| distributor sales| dealer sales| retail sales| business development| distribution| territory management| area management
formulation scientist,product development| r&d| new product development| technical support| pharmacology| mvsc
assistant professor,teaching| educator| counselor| mentor| trainer| advisor
team lead/technical lead,electrical engineering| automation| instrumentation| substation| test strategy| control system| ethernet| agile| ladder logic| testing
software developer,automation| configuration management| manager program management| release engineering| testing| mentor| management| manager technology
sales/business development manager,education industry| sales| educational sales| sales executive| area sales| fresher| business development| bde| bdm| sales manager| product sales
relationship executive,customer experience| relationship management| digital marketing
associate/senior associate -,puc| otdr| car manufacturing| fiber splicing| saving
quality assurance/quality control manager,quality control| production| creo| maintenance| autocad
software developer,html| javascript| oracle| c#| server| development| software| level| project management| debugging| tools| sql| ms sql| jquery| rdbms| web| mysql| asp.net| agile| scm
sales/business development manager,backend| networking| cloud| banking| financial services
head/vp/gm/national manager,hr administration| recruitment| exit interviews| employee orientation| travel| performance management| leave| grievance handling| joining formalities| attendance| esic| wage administration
recruitment executive,it recruitment| sourcing| screening| mass mailing| salary negotiation| interview scheduling| interviewing| hiring| cold calling| selection
sales/business development manager,media sales| b2b sales| corporate sales| ad sales| sales| key account management
software developer,design patterns| core java| multithreading| struts| spring| mvc| spring boot| spring batch| plsql| oracle| communication skills| sql
team lead/technical lead,web development| gmp| global marketing| mobile applications| it projects| manager technology| technology lead| management
software developer,monitoring| test scripts| defect analysis| test execution| test lead| qa analyst| pop| testing
training manager,erp| ms data management| mis| reports| hr policies| recruitment| talent acquisition| talent management| human resources
software developer,unix sql production support
business development manager,campaign management| customer satisfaction| management| ad operations| client coordination| back office| performance optimization| troubleshooting| microsoft| monitoring
software developer,peoplesoft finance| techno functional
team lead/technical lead,sql server| derivatives| equity| hedge funds| operations management| mutual funds| oracle| finance| fixed income| application support
direct marketing executive,co ordination| marketing executive| written communication| interpersonal skills| verbal| pressure| map
software developer,c#| microsoft technologies| java| css| ms sql| web technologies| javascript| programming| html| node.js| react.js| asp
software developer,development| wpf| design patterns| tfs| algorithms| unit testing| object oriented design| problem solving| windows| microsoft| ui| application| design| .net| multithreading| data structures| programming
recruitment executive,it recruiter| hr recruiter| it recruitment| sourcing| interviewing| recruitment| screening| technical recruitment| recruitment executive| non it| hr recruitment| recruitment consultant| freelancer| recruiter
software developer,computer science| process automation| performance tuning| integration testing| interaction design| agile| unit testing| continuous improvement| operations| monitoring
software developer,web services| linux| soa| bpo| webmethods| payroll| version control| staffing| control system| build management
lecturer/professor,teaching| educator| counselor| mentor| trainer| advisor
analytics manager,data science| sas sql| secondary research| excel powerpoint| artificial intelligence| research analysis| advanced analytics| data analysis| team leading| people management| primary research| python
sub editor/reporter,web| division| editing| rewriting
software developer,jbase
telecalling/telemarketing executive,sales| telesales| telemarketing
copywriter,usage| consulting| conceptualization| commerce| mentor| research| digital marketing| marketing communication
trainer/faculty,risk management| internship| computer science| cyber security| it security| security training| training| research| corporate| management
direct marketing executive,field marketing|branding|sponsorship|brand promotion|advertising|sales operations|direct marketing|event marketing|alliances|btl|activation|field business development|events|brand awareness|offline marketing|promotion
design engineer,costing| analytical| automotive| infotainment| assembly language| performance testing| reliability testing| perl| firmware| python
domestic private banking,financial services| risk management| auditing| manager quality assurance| operations| operational risk| operational risk management| ms office| analytical skills| risk control
graphic/web designer,web technologies| web designing
software developer,django| python| software development| web technologies
team lead/technical lead,drc| layout design| lvs| cadence virtuoso| cmos| mentor graphics| eda tools| design engineering
testing engineer,c| python| six sigma| pmp| .net| html| javascript| sql| oracle| assembly language| real time operating systems
design engineer,hypermesh| optistruct| hyperview| ls dyna| nastran| ansa| abaqus| durability| fatigue| hyperworks
web designer,website| html| photoshop| banners| corel draw| dreamweaver| adobe flash| adobe illustrator| xhtml| web designer
telesales/telemarketing executive/officer,sub| process| word| excel| mail| induction| powerpoint| basic
accounts executive/accountant,financial reporting| ms office| loans| nbfc| administration| monitoring| pdf| emi| finance| accounting
warehouse manager,warehouse management| inventory management| sla| kpi
search engine optimisation /seo analyst,digital marketing| search engine optimization| google adwords| search engine marketing| seo executive| sem| seo
software developer,solution design| application support| production support| enterprise applications| management| project management| software development life cycle| management| sdlc| salesforce
technical support engineer,assembly language| six sigma| pmp| c| javascript| .net| html| oracle| python| sql
software developer,java ee| j2ee| struts| spring mvc| wso2| junit| collection framework| web services| design patterns| orm
associate/senior associate -,technical support| sales associate| bonus| voice process| us shift| technical| inbound calls| senior| issue| software
testing engineer,bpo| database testing| automation testing| manual testing| ites| sql
software developer,analytical| web development| technical skills| computer science| cvs| coding| mysql| php| module| sql
regional sales manager,enterprise sales| government sales| key account management| regional sales| sales management| corporate sales
hr executive,recruitment executive| mba hr fresher| it recruitment| recruiter| hr| human resource| hr operations| hr recruiter| it hiring| fresher| recruitment| hr generalist| bba fresher| hr fresher
customer service manager,data analysis| sas| sql| process audit| system maintenance| data processing| data analytics| powerpoint| portfolio management
telecalling/telemarketing executive,help desk| customer service| customer relationship| access controls| asset management| vendor management
technical architect,ssis| ssrs| sql server| power bi| data modeling| data warehousing| oracle| dw| tableau| qlikview
librarian,librarian activities| library science| selection| circulation| library management
sales/business development manager,team management| business process| computer science| process automation| creative services| ad operations| focus| jira| management| business executive
sales/business development manager,packaging| merchandising| sales planning| forecasting| competitive analysis| manufacturing process| plastic molding| new product development| business understanding| customer segmentation
dba,database design| ms sql server| replication| transaction management| performance tuning
training manager,help desk| customer service| customer relationship| access controls| asset management| vendor management
associate/senior associate -,social media marketing| team management| search engine marketing| ict| digital marketing| client management| search engine optimization| social media optimization
branch manager/regional manager,database management| sales| management| lead generation| bid management| facility management| security services| head business development| budgeting| sales management
software developer,c#| tfs| oop| css| azure| .net| html| sql server| asp.net mvc| jquery
telesales/telemarketing executive/officer,customer relationship| selling| handling| maintaining| telemarketing| email| crm| ms office
bio,analytical chemistry| biotechnology| nutrition| formulation| biochemistry| animal handling
accounts executive/accountant,icwa inter| icwa| book keeping| accountant| account executive| tally| ca inter| finance
software developer,php mysql| javascript| website| analytical| web 2 0| web| php programming| php| programming
regional manager,networking| cardiovascular| top management| level| pharma| healthcare| time| management| cardiology| joomla
software developer,jscript| pdf| web technologies| jsp| oops| html| http| spring| server architecture
technical architect,dedicated| erp| project management| sap| cv| analytical| solution architect| enterprise architecture| hana| email
corporate planning/strategy manager,statutory audit| assurance| accounting| client relationship management| finance| fdd| marketing| recruitment| auditing| project management| client servicing| transaction advisory| business development
research associate,deep learning|computer vision|neural networks|machine learning|artificial intelligence|matlab|data structures|r|strong analytical skills|management systems
nutritionist,dietetics| diet counselling
system administrator,unix| automation| hp ux| solaris| social media| disaster recovery| problem management| oracle| monitoring| system administration
system administrator,solaris|aix|jdbc|information security|websphere portal|monitoring|disaster recovery|jndi|business process|outsourcing
software developer,spring| java| struts| hibernate| core java| web services| soap
regional manager,customer profiling| market research| sales executive| marketing executive| distributors| sales strategy| business development
sales executive/officer,b tech| technical sales| life sciences| institute| sales marketing| engineering| business administration
software developer,rtos|telecom|c++|c|networking|embedded development|linux kernel|embedded programming
software developer,rtos| wireless| object oriented design| github| git| linux| aerospace| sensors| spi| robotics
associate/senior associate -,risk management| risk assessment| fraud investigation
lecturer/professor,computer science| hospitality| business studies| pharmacy| botany| hotel management| business development associate| healthcare| physical education| sports
sales / bd manager,sales promotion| promotions| lead generation| franchise| team development| stp| wtp| wwtp| water treatment| chemical
software developer,django| python
technical support manager,wireless| technical support executive| wan| vpn| lan| cisco| customer relationship| ccna| technical support| firewall
associate/senior associate -,iphone| outbound| english| email| technical| troubleshooting| business executive| technical support| international bpo
executive/ sr executive,procurement| training| administration| legal compliance| mis| travel management| investment banking| management| risk management| business operations
pharmacist/chemist/bio chemist,pharma| pharmacy| hospital| clinical pharmacist| digitization
software developer,java| hadoop| hive| j2ee| spring boot| mockito| hbase| pig| junit| microservices| sql| git| jenkins
sales executive/officer,metro rail| sales| lead generation| corporate tie ups| sourcing| client meeting| business development| head hunting| marketing
sales executive/officer,printing| cold calling| lead generation| networking| corporate| business development executive| sales executive| management| software services
technical architect,computer science| front end| data security| cloud| machine learning| data structures| agile methodology| open source| financial services| python
training manager,backend| nosql| rdbms| database design| artificial intelligence| mysql| php| scrum| agile methodology
software developer,web services| ui| architecture| coding| social media| sqlite| messaging| android sdk| business executive| complex
hr executive,mnc hr executive|hr generalist activities|mba hr fresher|corporate hr|mnc hr operations|hr administration|trainee|graduate fresher|mnc hr generalist|sap hr|fresher|hr generalist|hr executive|payroll|hr fresher|hr payroll|payroll executive
client servicing/key account manager,account manager business development| it hardware| corporate sales| corporate handling| ups| relationship
software developer,java servlets| jms| rest| jaxb| jsp| jdbc| j2ee| ejb| soap| web services
civil engineer,installation| detail design| esp| sip| commissioning
hr business partner,recruitment| hr| exit interviews| induction| employee engagement| payroll| performance management| sales| retention
software developer,xml| ajax| joomla| drupal| cms| php mysql| java scripts| html css| | project life cycle
sales/business development manager,b2b sales| relationship management| insurance| banking products| hni| investment products| nr| strong communication skills
recruitment executive,it recruitment| contract staffing| sourcing| hiring| onboarding| it skills
civil engineer,training| sanitary| distribution network| business executive| civil engineering
telecalling/telemarketing executive,tele sales executive
lecturer/professor,counselor| teaching| mentor| trainer| advisor
pay roll/compensation manager,bpo| presales| change management| transition management| cards| stakeholder management| collaterals| hr processes| interpersonal skills| people management skills
software developer,react.js| software development| python| node.js| api
quality assurance/quality control manager,quality management| quality assurance| quality analyst| quality control
direct marketing executive,mechanical| marketing executive| electricals
head/vp/gm,gm| agm| employee engagement| hr| dgm| recruitment
system administrator,cisco| ims| rca| trend analysis| subject matter expertise| hardware troubleshooting| customer satisfaction| senior administrator| effort estimation| training
head/vp/gm,tpm| tqm| operational excellence| kaizen| lean manufacturing system| auto industry| continuous improvement| employee engagement| manufacturing process
software developer,css| azure| nintex| sharepoint designer| powershell| javascript| visual studio| node.js| java| git| html| agile methodology
software developer,ooad| drupal| php| development| sdlc| application| coding| wordpress| application development| cakephp| mvc| project life cycle| applications| magento
travel agent,ticketing| sales| aviation| outbound tours| iata| packaging| travel executive| customer support
graphic/web designer,css| illustrator| javascript| html| web designing| photoshop| adobe| advertising
sales executive/officer,inside sales| telesales| objection handling| sales coordination| selling| business development executive| business development| b2c sales| sales executive| sales consultant
technical architect,core java| uml| ooad| rational rose| coding| architectural design| technical leadership| design development| technical lead| consumer electronics
graphic designer,photoshop| graphic designer| visualiser| corel draw| communication design| illustrator
intern,biology| microbiology| botany| medical coding| medical microbiology| bsc microbiology| zoology| msc microbiology
